[1.0,0.0]
[0.9510565162951535,0.3090169943749474]
[0.8090169943749475,0.5877852522924731]
[0.5877852522924731,0.8090169943749475]
[0.30901699437494745,0.9510565162951535]
[-0.0,1.0]
[-0.3090169943749474,0.9510565162951535]
[-0.5877852522924731,0.8090169943749475]
[-0.8090169943749475,0.5877852522924731]
[-0.9510565162951535,0.30901699437494745]
[-1.0,-0.0]
[-0.9510565162951535,-0.3090169943749474]
[-0.8090169943749475,-0.5877852522924731]
[-0.5877852522924731,-0.8090169943749475]
[-0.30901699437494745,-0.9510565162951535]
[0.0,-1.0]
[0.3090169943749474,-0.9510565162951535]
[0.5877852522924731,-0.8090169943749475]
[0.8090169943749475,-0.5877852522924731]
[0.9510565162951535,-0.30901699437494745]
[0.6166965435616848,0.5731049363495135]
[0.12824996495425822,-0.566234576123431]
[-0.056870280246579655,-0.23542545506362705]
[0.6632407008438739,-0.4438631481331407]
[0.33248006396242175,-0.6612951821423719]
[0.12049793195155555,-0.024705083962446774]
[-0.2483965090463776,-0.8725675172312534]
[0.337671565958067,-0.7656051873571573]
[-0.026393440577595472,0.13326221717660575]
[-0.032699882725905,0.6969000690155921]
[0.039839227040794345,0.08938708058623757]
[0.4386727024322254,-0.058928184748948294]
[-0.2180191344958907,-0.298872484806676]
[0.27456392900920273,-0.19439410571142776]
[-0.06083543797655764,-0.4495156720999468]
[-0.113471587925933,0.2718283243525751]
[0.1529690572886059,-0.668943619200296]
[-0.09016337479156228,0.3724441560785046]
[0.4652688782756357,0.4308625252767494]
[-0.39027516920780386,-0.8106694547647442]
[-0.8610275400697159,-0.03345346502527911]
[-0.470683806474021,0.44199694947191837]
[0.18751582256549104,-0.12760639607549598]
[0.09713091534292301,-0.29767511013624454]
[-0.18264600993337096,0.8106817275413718]
